Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
228,672,H,Davidson,50,49,99,22.5,23.5,-6000,7.5
228,673,V,Samford,27,45,72,133,133,225,71
228,674,H,AppalachianSt,32,31,63,6.5,6,-265,2.5
228,675,V,Furman,24,34,58,145,143.5,950,74.5
228,676,H,CollCharleston,32,37,69,15.5,15,-1450,7
228,677,V,TennesseeTech,43,48,91,144,144,158,78.5
228,678,H,JacksonvilleSt,41,33,74,4.5,4,-180,4
228,679,V,MoreheadState,26,39,65,145,146,310,76.5
228,680,H,TennMartin,36,43,79,7,8,-370,2.5
228,681,V,Wofford,25,37,62,132.5,132.5,185,69.5
228,682,H,TheCitadel,25,30,55,6,5,-225,3.5
228,683,V,TennesseeChat,33,44,77,153,153,145,2
228,684,H,WesternCarolina,51,35,86,3.5,3.5,-165,82
228,685,V,EasternKentucky,35,26,65,129.5,127,240,68.5
228,686,H,MurrayState,27,34,70,7,6.5,-280,6
228,687,V,SEMissouriSt,35,43,78,158,158.5,1900,83
228,688,H,AustinPeay,51,37,88,19,20.5,-3800,7.5
228,689,V,EasternIllinois,25,38,63,139,138,130,2.5
228,690,H,TennesseeState,43,40,83,2,3,-150,74
228,691,V,SacramentoState,28,33,61,129,129,2750,71
228,692,H,WeberState,54,43,97,23,22.5,-6000,6.5
228,693,V,NorthernArizona,22,27,49,129.5,130,205,1
228,694,H,IdahoState,37,34,71,5.5,5.5,-245,69
228,695,V,PortlandState,36,20,66,4.5,4,-185,71.5
228,696,H,E.Washington,27,29,62,132.5,136,160,pk
301,819,V,Michigan,34,21,55,125.5,125,255,68.5
301,820,H,Wisconsin,32,28,60,8,7,-310,5.5
301,821,V,Marquette,25,33,58,144.5,145.5,360,74.5
301,822,H,Louisville,28,34,62,8.5,8.5,-450,4.5
301,823,V,BowlingGreen,24,26,50,123.5,123.5,438,66
301,824,H,Akron,22,24,46,11,10,-575,7
301,825,V,Tennessee,45,34,79,156.5,156,170,83
301,826,H,Florida,33,42,75,4.5,4.5,-200,6
301,827,V,Missouri,19,46,65,150,150.5,175,2.5
301,828,H,Kansas,45,45,90,4.5,4.5,-210,77.5
301,829,V,Providence,33,40,73,3,3.5,-170,76
301,830,H,Rutgers,26,40,66,145.5,147.5,150,pk
301,831,V,Cincinnati,17,46,63,145,148,305,1
301,832,H,Syracuse,40,47,87,8.5,8,-365,76.5
301,833,V,St.Bonaventure,30,32,62,137.5,139,438,74
301,834,H,St.Josephs,33,40,73,9.5,10,-575,5.5
301,835,V,KentState,30,33,63,119.5,121,205,65.5
301,836,H,MiamiOhio,30,38,68,5,5.5,-245,3.5
301,837,V,Buffalo,27,41,68,130,128,145,68.5
301,838,H,Ohio,28,38,66,5,3.5,-165,2
301,839,V,NorthTexas,35,38,73,135,131.5,140,69.5
301,840,H,DenverU,26,33,59,3.5,3,-160,4
